scenario_id,success,out_of_road
0,0.963560258351828,0.9678763347252489
1,0.9663790127711362,0.878851753387894
2,0.9547191943730787,0.671832032642367
3,0.9525913301740999,0.9551443866965332
4,0.9598341522694512,0.9522219804973389
5,0.9557101204010946,0.9557101204010946
6,0.9552977537973713,0.9560108474531642
7,0.9783559148292655,0.9687337437194912
8,0.9592447361317576,-0.00023757977272827543
9,0.9627434230845707,0.43749202889296707
10,0.9689256689121557,0.9689256689121557
11,0.95264691723166,0.95264691723166
12,0.9197687471690702,0.9197687471690702
13,0.9563680081746341,0.9588975158228644
14,0.9671134641305262,0.9706323557071299
15,0.7061780774604138,0.7884354361596948
16,0.9519665352285581,0.9500844671298821
17,0.9659266788092682,0.9511871836563888
18,0.9639182295851335,0.9639182295851335
19,0.9576405673711321,0.9679749649791355
20,0.963998409805573,0.9755360934121281
21,0.9789237154506338,0.9719974943674526
22,0.9543289415109704,0.9583175306554381
23,0.9647089563996514,0.9567560435743537
24,0.9526658703583195,0.9519023859902618
25,0.9702698939971316,0.9653209957043581
26,0.9552692249970797,0.9552692249970797
27,0.954175629763871,0.9609638339225005
28,0.9524762970612514,0.9526494108695278
29,0.9523903774597816,0.9503269755965217
30,0.9512116174327624,0.9500345262351421
31,0.9786509749699956,0.9696139874456466
32,0.3853559661006005,0.3853559661006005
33,0.7769827567759099,0.4569869264652507
34,0.9508371324276362,0.9560127367745701
35,0.9616619031924932,0.8146622927604011
36,0.9573865927082916,0.9573865927082916
37,0.9599802713075215,0.9599802713075215
38,0.9704255752753893,0.9704255752753893
39,0.9512359492217793,0.9516823545331333
40,0.9627744139144983,0.2959451694167398
41,0.950253299000034,0.9575172113316859
42,0.9585441320192435,0.9578450684536814
43,0.9576569428190719,0.8859882438171996
44,0.9564266361364437,0.9564266361364437
45,0.9576613160244309,0.6352616690789404
46,0.9548978388986837,0.9548978388986837
47,0.9788198801216003,0.978817258534479
48,0.957913883476377,0.8944777139173171
49,0.9539942903032756,0.9702118740320419
50,0.9522709320477324,0.9531705605269716
51,0.9507739800565561,0.9518059952648098
52,0.9544750300325286,0.9839801615267848
53,0.7977848952130543,0.7977848952130543
54,0.9895969004976523,0.9810680906916703
55,0.9663304061251679,0.966322183172603
56,0.9588435803218415,0.9690558767147919
57,0.9593993793394855,0.19709846426104838
58,0.9702529193952678,0.9615624936883038
59,0.9807616973287782,0.24742034809350863
60,0.9538710492362712,0.9501678532280855
61,0.9553682083874646,0.9565427765886886
62,0.9504655747268912,0.9504885688998129
63,0.9539321002835821,0.9539321002835821
64,0.9634941102654424,0.9728294385336091
65,0.9587154993557233,0.9645272151767467
66,0.9599854504779541,0.9506531793847444
67,0.9513112786393951,0.6842205625362838
68,0.9621816879277997,0.9500594005203293
69,0.9519275593592166,0.9578145855580807
70,0.9566372308598957,0.9525680132124279
71,0.9523145850970895,0.7605631159824409
72,0.9607962007156478,0.9603278654059182
73,0.9602734256189897,0.959572758226865
74,0.957950214607426,0.5316250876889298
75,0.9596597662743052,0.7835240057693038
76,0.9524092102932737,0.9553181219292676
77,0.9628785032668579,0.6577839595814708
78,-1.0,-1.0
79,0.9546194413208436,0.9546194413208436
80,0.9656559776383111,0.5721386062850005
81,0.8032804095890627,0.5214149600544293
82,0.9596916276703614,0.9601107956610622
83,0.9557875637377421,0.9509409895030917
84,0.9628122248763947,0.6445898494731488
85,0.9693472689363787,0.9693472689363787
86,0.6021132278236216,0.9571872082845243
87,0.9512751464129297,0.8018424355162169
88,0.9502246390866086,0.9502265324022182
89,0.9708791920805856,0.4619820010071342
90,0.9516373414079762,0.8007833156928976
91,0.9593117540442746,0.7259124213588295
92,0.9515228033633749,0.9651681498501528
93,0.9614271899965506,0.9614271899965506
94,0.9539082198390996,0.7320023156341751
95,0.9655500209982943,0.37922785059815406
96,0.956547104427859,0.9576619480937901
97,0.957476019681324,0.9551057790417152
98,0.9512476048998678,0.9502017392808916
99,0.9529471485537917,0.9609223707099463
100,0.9728935850149758,0.5971421396107679
101,0.9521251289467536,0.9578867183590031
102,0.9593429049159863,0.9565080409646827
103,0.9510298767146461,0.9627329432465671
104,0.6637187685123861,0.6561595261306454
105,0.9659028594797681,0.9659028594797681
106,0.9526809605214788,0.9540278402182687
107,0.9633439853354354,0.9633439853354354
108,0.965501376834753,0.9505471811266578
109,0.9677223764023176,0.9550027556650093
110,0.9571834568615344,0.6276811215850585
111,0.9619687745548292,0.5120083375901897
112,0.9565229860941656,0.4968853349108273
113,0.9531880859390023,0.9388843370662366
114,0.9727375318182528,0.9708975038208131
115,0.4469861824749752,0.4469861824749752
116,0.9600121173881412,0.9600175890528564
117,0.7764605201152077,0.6829796505348407
118,0.9575729759664585,0.6211234016484057
119,0.9508693758354719,0.8186006591380611
120,0.9847749754901162,0.9844348611150252
121,0.9681212904913619,0.96480052560373
122,0.9513839822060244,0.7727791444637397
123,0.951053139050326,0.9509616880148847
